Key,Russian,English,German,Estonian,French,Polish,Turkish,ChineseSimplified
MyWordsMenu.MyWords,📚 Мои слова,📚 My words,📚 Meine Wörter,📚 Minu sõnad,📚 Mes mots,📚 Moje słowa,📚 Kelimelerim,📚 我的单词
MyWordsMenu.ShowAllWords,🔍 Показать все слова,🔍 Show all words,🔍 Alle Wörter anzeigen,🔍 Kuva kõik sõnad,🔍 Afficher tous les mots,🔍 Pokaż wszystkie słowa,🔍 Tüm kelimeleri göster,🔍 显示所有单词
MyWordsMenu.DictionariesByTopics,📁 Словари по темам,📁 Dictionaries by topics,📁 Wörterbücher nach Themen,📁 Sõnastikud teemade kaupa,📁 Dictionnaires par thèmes,📁 Słowniki według tematów,📁 Konulara göre sözlükler,📁 按主题分类的词典
MyWordsMenu.EditWord,📝 Изменить слово,📝 Edit word,📝 Wort bearbeiten,📝 Muuda sõna,📝 Modifier le mot,📝 Edytuj słowo,📝 Kelimeyi düzenle,📝 编辑单词
MyWordsMenu.DeleteWords,🗑️ Удалить слова,🗑️ Delete words,🗑️ Wörter löschen,🗑️ Kustuta sõnad,🗑️ Supprimer les mots,🗑️ Usuń słowa,🗑️ Kelimeleri sil,🗑️ 删除单词
MyWordsMenu.Back,⬅️ Назад,⬅️ Back,⬅️ Zurück,⬅️ Tagasi,⬅️ Retour,⬅️ Wróć,⬅️ Geri,⬅️ 返回
MainMenu.AddWord,➕ Добавить слово,➕ Add word,➕ Wort hinzufügen,➕ Lisa sõna,➕ Ajouter un mot,➕ Dodaj słowo,➕ Kelime ekle,➕ 添加单词
MainMenu.Learn,📖 Учить,📖 Learn,📖 Lernen,📖 Õpi,📖 Apprendre,📖 Ucz się,📖 Öğren,📖 学习
MainMenu.Settings,🌐 Настройки,🌐 Settings,🌐 Einstellungen,🌐 Seaded,🌐 Paramètres,🌐 Ustawienia,🌐 Ayarlar,🌐 设置
MainMenu.Statistics,📊 Статистика,📊 Statistics,📊 Statistik,📊 Statistika,📊 Statistiques,📊 Statystyki,📊 İstatistikler,📊 统计
MainMenu.Profile,👤 Профиль,👤 Profile,👤 Profil,👤 Profiil,👤 Profil,👤 Profil,👤 Profil,👤 个人资料
MainMenu.GenerateNewWords,Генерация новых слов,Generate new words,Neue Wörter generieren,Genereeri uusi sõnu,Générer de nouveaux mots,Generuj nowe słowa,Yeni kelimeler üret,生成新词
Worker.EnterWordForEditing,Введите слово или его часть:,Enter a word or part of it:,Geben Sie ein Wort oder einen Teil davon ein:,Sisestage sõna või selle osa:,Entrez un mot ou une partie de celui-ci :,Wprowadź słowo lub jego część:,Düzenlenecek kelimeyi veya bir kısmını girin:,输入要编辑的单词或其部分:
Worker.EnterWordToAdd,Введите слово для добавления:,Enter a word to add:,Geben Sie ein Wort zum Hinzufügen ein:,Sisestage lisatav sõna:,Entrez un mot à ajouter :,Wprowadź słowo do dodania:,Eklenecek bir kelime girin:,输入要添加的单词:
Worker.EnterThemeForWordGeneration,На какую тему добавить слова?:,What topic to add words for?:,Zu welchem Thema sollen Wörter hinzugefügt werden?:,Millisele teemale sõnu lisada?:,Sur quel sujet ajouter des mots ?,Na jaki temat dodać słowa?:,Hangi konuya kelime eklemeli?:,要为哪个主题添加单词?:
Worker.WordDeleted,Слово '{0}' удалено,Word '{0}' deleted,Wort „{0}“ gelöscht,Sõna „{0}“ kustutatud,Mot „{0}“ supprimé,Słowo „{0}” usunięte,„{0}“ kelimesi silindi,单词“{0}”已删除
Worker.WordNotFound,Слово '{0}' не найдено,Word '{0}' not found,Wort „{0}“ nicht gefunden,Sõna „{0}“ ei leitud,Mot „{0}“ introuvable,Słowo „{0}” nie znaleziono,„{0}“ kelimesi bulunamadı,未找到单词“{0}”
Worker.WordAddedToFavorites,Слово '{0}' добавлено в избранное,Word '{0}' added to favorites,Wort „{0}“ zu Favoriten hinzugefügt,Sõna „{0}“ lisatud lemmikutesse,Mot „{0}“ ajouté aux favoris,Słowo „{0}” dodano do ulubionych,„{0}“ kelimesi favorilere eklendi,单词“{0}”已添加到收藏夹
Worker.EnterNativeLanguage,Введите ваш родной язык:,Enter your native language:,Geben Sie Ihre Muttersprache ein:,Sisestage oma emakeel:,Entrez votre langue maternelle :,Wprowadź swój język ojczysty:,Ana dilinizi girin:,输入您的母语:
Worker.EnterLanguageToLearn,Введите название языка для изучения:,Enter the name of the language to learn:,Geben Sie den Namen der zu lernenden Sprache ein:,Sisestage õpitava keele nimi:,Entrez le nom de la langue à apprendre :,Wprowadź nazwę języka do nauki:,Öğrenmek istediğiniz dilin adını girin:,输入要学习的语言名称:
Worker.NoAddedLanguages,У вас нет добавленных языков.,You have no added languages.,Sie haben keine Sprachen hinzugefügt.,Teil pole lisatud keeli.,Vous n'avez pas de langues ajoutées.,Nie masz dodanych języków.,Eklenmiş diliniz yok.,您没有添加任何语言。
Worker.YourLanguages,Ваши языки:\n{0}\nВведите код для удаления:,Your languages:\n{0}\nEnter code to delete:,Ihre Sprachen:\n{0}\nGeben Sie den zu löschenden Code ein:,Teie keeled:\n{0}\nSisestage kustutatav kood:,Vos langues :\n{0}\nEntrez le code à supprimer :,Twoje języki:\n{0}\nWprowadź kod do usunięcia:,Dilleriniz:\n{0}\nSilmek için kodu girin:,您的语言:\n{0}\n输入要删除的代码:
Worker.ResetStatisticsConfirmation,Сбросить статистику?,Reset statistics?,Statistiken zurücksetzen?,Lähtesta statistika?,Réinitialiser les statistiques ?,Zresetować statystyki?,İstatistikleri sıfırla?,重置统计数据?
Worker.EnterNewDictionaryName,Введите название нового словаря:,Enter the name of the new dictionary:,Geben Sie den Namen des neuen Wörterbuchs ein:,Sisestage uue sõnastiku nimi:,Entrez le nom du nouveau dictionnaire :,Wprowadź nazwę nowego słownika:,Yeni sözlüğün adını girin:,输入新词典的名称:
Worker.AutoFillDictionaryCancelled,Автозаполнение словаря отменено.,Dictionary autofill cancelled.,Wörterbuch-Autovervollständigung abgebrochen.,Sõnastiku automaatne täitmine tühistati.,Remplissage automatique du dictionnaire annulé.,Autouzupełnianie słownika anulowane.,Sözlük otomatik doldurma iptal edildi.,词典自动填充已取消。
Worker.FailedToGetWordsForTheme,Не удалось получить слова по теме.,Failed to get words for the topic.,Es konnten keine Wörter für das Thema abgerufen werden.,Sõnu ei õnnestunud teema kohta hankida.,Impossible d'obtenir des mots pour le sujet.,Nie udało się pobrać słów dla tematu.,Konu için kelimeler alınamadı.,无法获取该主题的单词。
